"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 27 16:39:37 CAT 2021","Sat Mar 27 16:40:21 CAT 2021","43446","Command line suite","Command line test","ReactJsSanityTest.TC07_FurnitureCollectFromStoreTest","ReactJsSanityTest.TC07_FurnitureCollectFromStoreTest","launchApplication","launchApplication",""
"passed","Sat Mar 27 15:35:29 CAT 2021","Sat Mar 27 15:36:25 CAT 2021","55749","Default suite","Default test","ReactJsSanityTest.TC06_FurnitureCollectFromStoreTest","ReactJsSanityTest.TC06_FurnitureCollectFromStoreTest","launchApplication","launchApplication",""
"failed","Sat Mar 27 15:36:25 CAT 2021","Sat Mar 27 15:38:46 CAT 2021","140623","Default suite","Default test","ReactJsSanityTest.TC06_FurnitureCollectFromStoreTest","ReactJsSanityTest.TC06_FurnitureCollectFromStoreTest","checkOutFlow","checkOutFlow",""
"passed","Sat Mar 27 11:31:37 CAT 2021","Sat Mar 27 11:32:50 CAT 2021","73122","Command line suite","Command line test","ReactJsSanityTest.TC03_RegisterNewOnlineProfileTest","ReactJsSanityTest.TC03_RegisterNewOnlineProfileTest","loginUat","loginUat",""
"passed","Sat Mar 27 16:38:33 CAT 2021","Sat Mar 27 16:39:37 CAT 2021","64433","Command line suite","Command line test","ReactJsSanityTest.TC06_FurnitureAddItemToBagTest","ReactJsSanityTest.TC06_FurnitureAddItemToBagTest","addItemToBag","addItemToBag",""
"passed","Sat Mar 27 16:34:57 CAT 2021","Sat Mar 27 16:35:57 CAT 2021","60499","Command line suite","Command line test","ReactJsSanityTest.TC04_RegisterNewOnlineProfileTest","ReactJsSanityTest.TC04_RegisterNewOnlineProfileTest","registerNewOnline","registerNewOnline",""
"passed","Sat Mar 27 16:37:57 CAT 2021","Sat Mar 27 16:38:33 CAT 2021","36048","Command line suite","Command line test","ReactJsSanityTest.TC06_FurnitureAddItemToBagTest","ReactJsSanityTest.TC06_FurnitureAddItemToBagTest","furnitureFlow","furnitureFlow",""
"passed","Sat Mar 27 14:09:47 CAT 2021","Sat Mar 27 14:10:31 CAT 2021","43218","Default suite","Default test","ReactJsSanityTest.TC05_ReactJsCheckOutTest","ReactJsSanityTest.TC05_ReactJsCheckOutTest","launchApplication","launchApplication",""
"failed","Sat Mar 27 13:04:10 CAT 2021","Sat Mar 27 13:06:28 CAT 2021","137982","Default suite","Default test","ReactJsSanityTest.TC04_TodaysDealTest","ReactJsSanityTest.TC04_TodaysDealTest","loginUat","loginUat",""
"failed","Sat Mar 27 16:35:57 CAT 2021","Sat Mar 27 16:37:57 CAT 2021","119403","Command line suite","Command line test","ReactJsSanityTest.TC05_TodaysDealTest","ReactJsSanityTest.TC05_TodaysDealTest","todaysDeal","todaysDeal",""
"failed","Sat Mar 27 16:40:21 CAT 2021","Sat Mar 27 16:42:42 CAT 2021","141715","Command line suite","Command line test","ReactJsSanityTest.TC07_FurnitureCollectFromStoreTest","ReactJsSanityTest.TC07_FurnitureCollectFromStoreTest","checkOutFlow","checkOutFlow",""
"passed","Sat Mar 27 16:34:25 CAT 2021","Sat Mar 27 16:34:57 CAT 2021","31495","Command line suite","Command line test","ReactJsSanityTest.TC02_LogOutTest","ReactJsSanityTest.TC02_LogOutTest","logOutUat","logOutUat",""
"passed","Sat Mar 27 14:10:31 CAT 2021","Sat Mar 27 14:11:29 CAT 2021","58324","Default suite","Default test","ReactJsSanityTest.TC05_ReactJsCheckOutTest","ReactJsSanityTest.TC05_ReactJsCheckOutTest","checkOutFlow","checkOutFlow",""
"passed","Sat Mar 27 16:31:39 CAT 2021","Sat Mar 27 16:32:23 CAT 2021","44749","Command line suite","Command line test","ReactJsSanityTest.TC01_LoginTest","ReactJsSanityTest.TC01_LoginTest","loginUat","loginUat",""
"passed","Sat Mar 27 16:33:34 CAT 2021","Sat Mar 27 16:34:25 CAT 2021","51642","Command line suite","Command line test","ReactJsSanityTest.TC02_LogOutTest","ReactJsSanityTest.TC02_LogOutTest","launchReactUat","launchReactUat",""
"broken","Sat Mar 27 16:32:23 CAT 2021","Sat Mar 27 16:33:34 CAT 2021","70020","Command line suite","Command line test","ReactJsSanityTest.TC03_SocialLoginTest","ReactJsSanityTest.TC03_SocialLoginTest","loginUat","loginUat",""
